location_id,state,location_type,latitude,longitude,elevation_m,slope_angle_deg,soil_moisture_pct,rainfall_last_7d_mm,rainfall_last_30d_mm,vegetation_cover_pct,historical_landslide_count,nearby_population,true_risk,high_risk_alert
NER-1000,Sikkim,School zone,26.5671,88.6496,1013,13.1,49.1,73.8,154.8,35.9,2,707,0.543,0
NER-1001,Manipur,Highway segment,25.1347,93.8233,1319,19.9,62.5,108.5,164.9,82.3,0,2108,0.45,0
NER-1002,Arunachal Pradesh,Market area,26.5153,93.3502,1842,16.7,44.4,19.5,150.6,57.2,1,5844,0.357,0
NER-1003,Tripura,School zone,23.9846,91.9851,1281,29.9,23.4,37.0,65.2,25.6,1,990,0.353,0
NER-1004,Mizoram,Market area,24.5181,92.3066,1354,43.3,32.4,34.0,139.2,38.4,4,3532,0.815,1
NER-1005,Mizoram,Market area,22.9469,93.249,1200,35.0,75.9,45.7,102.2,51.0,2,326,0.727,1
NER-1006,Sikkim,School zone,28.0126,88.5438,1801,27.2,52.0,60.9,138.9,58.6,0,3159,0.308,0
NER-1007,Sikkim,Village,27.7643,89.1959,1620,16.3,65.9,84.0,186.5,27.5,0,2822,0.599,1
NER-1008,Manipur,Residential cluster,24.9954,94.5362,1638,16.8,81.9,85.1,127.1,80.2,0,4496,0.446,0
NER-1009,Arunachal Pradesh,Residential cluster,26.3382,93.2546,373,23.5,16.0,28.8,59.8,69.5,0,3218,0.151,0
NER-1010,Tripura,School zone,23.4836,90.673,1438,53.5,40.6,162.1,191.9,65.0,1,1995,0.833,1
NER-1011,Sikkim,Residential cluster,27.9871,87.8587,319,52.0,83.9,73.9,149.8,61.6,0,5360,0.803,1
NER-1012,Assam,Market area,26.4161,91.0441,1874,69.5,95.1,27.4,169.8,82.2,0,5516,0.868,1
NER-1013,Arunachal Pradesh,Highway segment,26.8772,93.489,65,30.8,16.7,115.1,95.8,93.3,1,5057,0.29,0
NER-1014,Tripura,Market area,23.3302,91.3136,435,33.1,53.8,35.9,322.7,49.2,0,2156,0.579,1
NER-1015,Meghalaya,Village,25.626,91.5873,1800,12.7,22.0,73.4,44.5,83.9,3,2474,0.182,0
NER-1016,Meghalaya,Highway segment,25.9493,91.3363,879,15.9,81.3,34.2,147.8,52.3,0,3020,0.511,0
NER-1017,Assam,Village,25.648,91.4972,1287,8.3,61.6,95.4,248.4,61.7,0,6160,0.447,0
NER-1018,Sikkim,Residential cluster,27.1354,88.1401,539,15.3,82.4,77.9,79.0,70.9,2,720,0.619,1
